Title,Company,High,Low,Price,Volume,Change,,% Change
AKER,Akers Biosciences,0.6400,0.5900,0.6300,"5,801,197",0.0600,,10.53,
AKRX,Akorn Inc,19.57,19.04,19.30,"115,655",-0.16,,0.82,
AKTS,Akoustis Technologies Inc,5.650,5.430,5.560,"15,973",-0.060,,1.07,
AKTX,Akari Therapeutics,1.890,1.840,1.870,769,0.070,,3.89,
ALBO,Albireo Pharma Inc,32.56,31.48,32.20,"3,301",-0.01,,0.03,
ALCO,Alico Inc,28.10,27.95,28.10,"4,939",0.15,,0.54,
ALDR,Alder Biopharma,12.80,12.45,12.62,"120,714",-0.08,,0.63,
ALDX,Aldeyra Therapeu,7.290,7.050,7.050,"10,918",-0.150,,2.08,
ALGN,Align Technology I,258.4,251.3,257.9,"314,938",9.0,,3.60,
ALGT,Allegiant Travel Com,176.1,173.5,175.8,"10,450",2.0,,1.13,
ALIM,Alimera Sciences Inc,1.050,1.030,1.030,"2,600",-0.010,,0.96,
ALJJ,Alj Regional Hold,2.270,2.080,2.160,"22,600",0.020,,0.93,
ALKS,Alkermes Plc,45.00,44.20,44.51,"90,953",0.35,,0.79,
ALLT,Allot Communications,5.410,5.370,5.410,382,0.050,,0.93,
ALNA,Allena Pharmaceuticals Inc,16.50,14.11,14.85,"83,933",-1.75,,10.54,
ALNY,Alnylam Pharmaceut,103.5,101.3,101.7,"242,710",-0.6,,0.56,
ALOG,Analogic Cp,96.20,94.82,95.15,"9,795",-0.15,,0.16,
ALOT,Astronova Inc,16.16,16.05,16.05,"10,944",-0.05,,0.31,
ALPN,Alpine Immune Sciences Inc,8.140,8.020,8.020,"1,205",-0.150,,1.84,
ALQA,Alliqua Biomedical,2.000,1.930,1.990,"7,308",0.030,,1.53,
ALRM,Alarm.Com,39.50,38.12,38.90,"50,997",0.09,,0.23,
ALRN,Aileron Therapeutics Inc,7.000,6.790,7.000,"1,253",0.270,,4.01,
ALSK,Alaska Commun Sys,1.760,1.700,1.750,"11,685",0.055,,3.24,
ALT,Altimmune Inc,1.070,1.020,1.030,"30,857",-0.010,,0.96,
ALTR,Altair Engineering Inc Class A,31.27,30.40,31.27,"28,753",0.83,,2.73,
ALTY,G-X Super Dividend Alternatives ETF,14.52,14.50,14.50,400,0.02,,0.14,
ALXN,Alexion Pharm Inc,112.4,111.1,111.8,"314,960",0.3,,0.26,
AMAG,Amag Pharmaceuticals,21.05,20.55,20.72,"98,668",-0.28,,1.33,
AMAT,Applied Materials,56.21,55.38,55.45,"2,286,617",-0.11,,0.20,
AMBA,Ambarella Inc,47.50,46.78,47.03,"80,117",0.10,,0.21,
AMBC,Ambac Financial Grp,16.05,15.21,15.94,"42,817",0.14,,0.89,
AMBCW,Ambac Financial Grp,7.140,6.940,6.950,"2,153",-0.190,,2.66,
AMCA,Ishares Russell 1000 Pure U.S. Revenue,26.26,26.26,26.26,363,0.16,,0.61,
AMCN,Airmedia Group Inc,0.7400,0.7200,0.7300,"19,005",-0.0100,,1.35,
AMCX,Amc Networks Cl A,52.09,51.23,51.50,"42,679",-0.28,,0.54,
AMD,Adv Micro Devices,10.20,10.03,10.13,"19,516,152",0.36,,3.68,
AMDA,Amedica Corp,1.490,1.370,1.370,"3,409",-0.020,,1.44,
AMED,Amedisys Inc,65.60,64.10,65.53,"71,149",1.40,,2.18,
AMEH,Apollo Medical Holdings Inc,16.14,15.54,15.79,"7,590",0.08,,0.51,
AMGN,Amgen,174.4,171.9,172.7,"385,749",-0.9,,0.50,
AMKR,Amkor Technology,10.010,9.870,9.900,"48,509",-0.005,,0.05,
AMMA,Alliance Mma Inc,0.4900,0.4700,0.4700,"4,890",-0.0100,,2.08,
AMNB,American Natl Bksh,38.35,37.80,38.35,"1,734",0.40,,1.05,
AMOT,Allied Motion Tech,39.87,39.80,39.80,935,0.33,,0.84,
AMPH,Amphastar Pharma,19.13,18.95,19.10,"11,268",0.08,,0.42,
AMR,Alta Mesa Resources Inc.,7.510,7.160,7.440,"339,735",0.450,,6.44,
AMRB,American River Bkshs,15.70,15.50,15.70,"6,400",0.25,,1.62,
AMRH,Ameri Holdings Inc,1.530,1.470,1.470,"4,036",-0.030,,2.00,
AMRHW,Ameri Holdings Inc Warrant,0.5500,0.5000,0.5000,"3,100",0.0600,,13.64,
AMRK,A-Mark Precious Meta,12.81,12.02,12.04,"15,200",-0.38,,3.06,
AMRN,Amarin Corp Ads,3.200,3.050,3.080,"412,785",-0.080,,2.53,
AMRS,Amyris Inc,7.300,6.950,7.200,"604,750",0.230,,3.30,
AMRWW,Alta Mesa Resources Inc. Wt.,1.500,1.300,1.400,"45,550",0.110,,8.53,
AMSC,Amer Superconductor,6.080,5.970,6.070,"11,915",0.140,,2.36,
AMSF,Amerisafe Inc,55.25,53.65,54.72,"7,166",-0.28,,0.51,
AMSWA,Amer Software Inc,13.27,12.71,13.12,"6,204",-0.12,,0.91,
AMTD,TD Ameritrade HD,59.28,58.58,59.14,"345,693",1.02,,1.75,
AMTX,Aemetis Inc,1.650,1.530,1.620,"33,446",0.110,,7.28,
