Title,Company,High,Low,Price,Volume,Change,,% Change
KBAL,Kimball Intl Cl B,17.52,16.89,17.36,"1,583",-0.17,,0.97,
KBLM,Kbl Merger Corp IV,9.910,9.860,9.890,"1,700",0.060,,0.61,
KBLMR,Kbl Merger Corp IV Right,0.3600,0.3100,0.3600,"6,400",0.0100,,2.86,
KBLMU,Kbl Merger Corp IV Unit,10.42,10.41,10.41,"2,100",-0.01,,0.10,
KBLMW,Kbl Merger Corp IV Warrant,0.2300,0.2300,0.2300,"1,000",0.0100,,4.55,
KBSF,Kbs Fashion Gp Ltd,4.980,4.740,4.740,"6,757",-0.200,,4.05,
KBWB,KBW Bank Powershares,55.94,55.69,55.69,"7,343",0.40,,0.72,
KBWD,KBW High Div Yld Financial Powershares,22.84,22.79,22.79,"4,008",-0.02,,0.09,
KBWP,KBW Prop & Casuality Insur Powershares,62.37,62.37,62.37,239,0.42,,0.68,
KBWR,KBW Regional Banking Powershares,57.09,57.09,57.09,183,0.41,,0.72,
KBWY,KBW Prem Yld Equity REIT Powershares,31.85,31.47,31.52,"36,876",-0.28,,0.88,
KCAP,Kcap Financial,3.250,3.150,3.160,"86,051",-0.090,,2.77,
KCAPL,Kcap Financial Inc 6.125% Notes Due 2022,25.25,25.25,25.25,300,0.05,,0.20,
KE,Kimball Electrnc,17.15,17.15,17.15,664,0.15,,0.88,
KELYA,Kelly Svcs Cl A,29.62,29.50,29.55,"3,210",0.05,,0.17,
KEQU,Kewaunee Scientifi,33.70,33.70,33.70,440,-0.32,,0.94,
KERX,Keryx Biopharm Inc,4.140,4.070,4.100,"55,890",0.030,,0.74,
KEYW,Keyw Holding Corp,8.220,8.000,8.210,"13,679",0.280,,3.53,
KFFB,Kentucky First Fed,8.950,8.700,8.700,400,-0.100,,1.14,
KFRC,Kforce Inc,27.55,27.40,27.40,"1,580",0.15,,0.55,
KGJI,Kingold Jewelry Inc,1.400,1.340,1.380,"8,927",0.040,,2.99,
KHC,Kraft Heinz Co,61.90,61.07,61.12,"251,798",-0.25,,0.41,
KIDS,Orthopediatrics Corp,16.25,15.21,16.25,"25,838",1.19,,7.90,
KIN,Kindred Biosciences,8.400,8.400,8.400,444,0.050,,0.60,
KINS,Kingstone Cos Inc,16.70,16.25,16.65,"3,271",0.50,,3.10,
KIRK,Kirkland's Inc,10.060,9.950,9.990,"4,753",0.090,,0.91,
KLAC,K L A-Tencor Corp,111.6,110.1,111.2,"103,862",1.9,,1.74,
KLIC,Kulicke and Soffa,25.34,25.07,25.16,"27,913",0.20,,0.80,
KLXI,Klx Inc,70.05,69.77,69.95,"3,161",0.62,,0.89,
KMDA,Kamada Ltd,4.700,4.550,4.700,"11,500",0.150,,3.30,
KMPH,Kempharm Inc,6.950,6.700,6.800,"6,355",-0.050,,0.73,
KNDI,Kandi Techs Grp,4.870,4.840,4.870,"6,569",0.070,,1.46,
KNSL,Kinsale Capital Group Inc,51.95,51.83,51.95,972,0.41,,0.80,
KONA,Kona Grill Inc,1.850,1.850,1.850,"3,975",0.000,,0.00,
KONE,Kingtone Wirelessinf,4.360,4.360,4.360,300,-0.040,,0.91,
KOOL,Cesca Therapeutics I,1.700,1.610,1.620,"14,718",-0.050,,2.99,
KOPN,Kopin Cp,3.170,3.070,3.110,"26,597",-0.010,,0.32,
KOSS,Koss Cp,1.780,1.780,1.780,800,0.000,,0.00,
KPTI,Karyopharm Therapeut,13.50,13.23,13.23,"10,880",-0.23,,1.71,
KRMA,G-X Conscious Companies ETF,19.65,19.56,19.56,"1,625",0.04,,0.20,
KRNT,Kornit Digital Ord,13.65,13.45,13.45,"25,543",-0.10,,0.74,
KRNY,Kearny Financial,13.35,13.25,13.30,"18,935",0.05,,0.38,
KRYS,Krystal Biotech Inc,10.000,9.690,9.990,"25,900",0.360,,3.74,
KTCC,Key Tronic Cp,6.950,6.860,6.950,"4,400",0.080,,1.16,
KTEC,Key Technology Inc,26.76,26.73,26.74,"55,100",0.02,,0.07,
KTOS,Kratos Defns,10.65,10.39,10.60,"131,511",0.25,,2.42,
KTOV,Kitov Pharamceut Ads,2.250,2.250,2.250,556,0.070,,3.21,
KTOVW,Kitov Pharamceuti WT,0.6400,0.4600,0.6000,"19,600",-0.0400,,6.25,
KTWO,K2M Group Hldngs,19.50,18.79,18.96,"16,907",0.00,,0.00,
KURA,Kura Oncology,18.50,18.35,18.45,"2,506",0.10,,0.54,
KVHI,K V H Inds Inc,10.35,10.35,10.35,"4,394",-0.05,,0.48,
KZIA,Kazia Therapeutics Ltd,6.000,5.750,5.750,"3,230",-0.010,,0.17,
LABL,Multi Color Cp,67.38,66.05,66.30,"1,018",0.70,,1.07,
LACQ,Leisure Acquisition Corp.,9.650,9.650,9.650,800,0.050,,0.52,
LACQU,Leisure Acquisition Corp Unit,9.920,9.890,9.900,"3,100",-0.030,,0.30,
LACQW,Leisure Acquisition Corp. Warrant,0.7500,0.7500,0.7500,"2,500",0.1000,,15.38,
LAKE,Lakeland Inds Inc,13.25,13.05,13.25,381,0.00,,0.00,
LALT,Multi-Strategy Alternative PS,22.16,22.15,22.16,900,0.19,,0.86,
LAMR,Lamar Advertis A,64.66,63.48,63.52,"70,893",-0.73,,1.14,
LANC,Lancaster Colony Cor,124.9,124.2,124.2,469,-0.1,,0.06,
LAND,Gladstone Land Corp,12.31,12.21,12.21,901,-0.07,,0.57,
LANDP,Gladstone Land Corp,25.61,25.60,25.60,"1,800",-0.03,,0.12,
LARK,Landmark Bancorp Inc,28.85,28.31,28.31,"3,100",-0.69,,2.38,
LAUR,Laureate Education Inc,14.26,14.15,14.15,"2,878",0.08,,0.57,
LAWS,Lawson Products In,24.10,23.75,23.80,"22,700",-0.20,,0.83,
LAYN,Layne Christensen,15.66,15.11,15.46,"18,810",0.41,,2.72,
LAZY,Lazydays Holdings Inc.,10.000,9.960,9.960,"1,100",0.000,,0.00,
LBAI,Lakeland Bancorp Inc,20.10,19.15,19.95,"5,826",-0.10,,0.50,
LBC,Luther Burbank Corporation,12.18,12.18,12.18,549,0.09,,0.74,
LBCC,Long Blockchain Corp,1.990,1.940,1.950,"14,056",0.020,,1.04,
LBIX,Leading Brands,1.110,1.110,1.110,301,-0.030,,2.63,
LBRDA,Liberty Broadbd A,84.08,83.36,83.36,"6,082",0.15,,0.18,
LBRDK,Liberty Broadbd C,84.51,83.62,83.69,"21,231",0.22,,0.26,
LBTYA,Liberty Global Ord A,32.01,31.76,32.00,"52,287",0.42,,1.33,
LBTYB,Liberty Global Ord B,31.65,31.65,31.65,100,-1.15,,3.51,
LBTYK,Liberty Global Ord C,31.10,30.81,31.05,"92,526",0.38,,1.24,
LCA,Landcadia Holdings Inc,10.05,10.03,10.03,200,-0.01,,0.08,
LCAHU,Landcadia Holding Un,10.74,10.73,10.74,200,-0.02,,0.19,
LCAHW,Landcadia Holdings Inc Warrant,0.6900,0.6900,0.6900,200,-0.0200,,2.82,
LCNB,Lcnb Corp,19.50,18.85,19.40,"9,600",0.65,,3.47,
LCUT,Lifetime Brands Inc,12.65,12.60,12.60,779,0.05,,0.40,
LDRI,Ladderrite 0-5 Year Corporate Bond PS,24.57,24.53,24.57,"4,100",0.09,,0.37,
LE,Lands' End Inc,22.67,22.00,22.20,"20,066",0.15,,0.68,
LECO,Lincoln Elec Hldg,90.64,90.00,90.57,"11,756",0.73,,0.81,
LEDS,Semileds Corp,3.090,3.010,3.050,"4,244",0.070,,2.35,
LEGR,First Trust Indxx Innovative Transaction,28.97,28.97,28.97,264,0.24,,0.84,
LENS,Presbia Plc Ord Shs,2.340,2.310,2.310,"2,700",0.000,,0.00,
LEXEA,Liberty Expedia Holdings Inc,39.86,39.27,39.63,"17,068",0.04,,0.10,
LFIN,Longfin Corp,14.37,12.50,14.30,"1,236,083",2.69,,23.17,
LFUS,Littelfuse Inc,203.9,203.5,203.6,776,2.0,,1.01,
LFVN,Lifevantage Cp,3.370,3.370,3.370,333,0.020,,0.60,
LGCY,Legacy Reserves LP,4.690,4.550,4.650,"10,972",0.130,,2.88,
LGCYO,Legacy Resrvs Sr B,6.900,6.840,6.900,"3,200",0.150,,2.22,
LGCYP,Legacy Resrvs Sr A,8.000,7.570,7.900,"20,100",0.100,,1.28,
LGIH,LGI Homes Inc,74.89,71.93,74.19,"106,581",2.76,,3.86,
LGND,Ligand Pharm,164.0,161.2,162.6,"8,114",2.0,,1.26,
LHCG,LHC Group Inc,70.04,69.67,70.02,"16,050",0.51,,0.73,
LIFE,Atyr Pharma Inc,2.750,2.700,2.750,"1,281",0.050,,1.85,
LILA,Liberty Latin America Cl A,20.03,19.89,19.99,"1,638",0.11,,0.55,
LILAK,Liberty Latin America Cl C,19.68,19.59,19.62,"4,299",0.10,,0.51,
LINC,Lincoln Educational,1.890,1.890,1.890,128,-0.030,,1.56,
LIND,Lindblad Expd Hld,10.58,10.46,10.46,473,-0.06,,0.57,
LINDW,Lindblad Expd WT,1.420,1.400,1.420,"18,200",0.020,,1.43,
LINK,Interlink Elctrnc,6.350,6.050,6.260,"2,912",0.440,,7.56,
LINU,Liniu Technology Group,1.530,1.480,1.520,"14,600",-0.010,,0.65,
LION,Fidelity Southern Cp,23.11,23.11,23.11,142,0.15,,0.65,
LITE,Lumentum Hld,64.36,63.05,63.55,"169,322",1.25,,2.01,
LIVE,Live Ventures,12.48,12.48,12.48,136,0.00,,0.00,
LIVN,Livanova Plc Or Sh,87.07,86.88,87.07,"1,340",0.74,,0.86,
LIVX,Livexlive Media Inc,3.860,3.650,3.860,"6,900",-0.040,,1.03,
LJPC,La Jolla Pharma,31.52,31.00,31.23,"8,750",-0.23,,0.73,
LKFN,Lakeland Finl Corp,47.26,46.78,47.25,"3,262",0.38,,0.81,
LKOR,Flexshares Credit Scored US Long Corp,51.81,51.72,51.72,300,-0.24,,0.46,
LKQ,LKQ Corp,38.54,38.18,38.18,"55,021",-0.05,,0.13,
LLIT,Lianluo Smart Ltd,2.200,1.920,2.140,"1,469",0.150,,7.54,
LLNW,Limelight Networks,4.040,3.980,3.990,"44,509",0.000,,0.00,
LMAT,Lemaitre Vascular,38.00,37.83,37.84,"4,368",-0.08,,0.21,
LMB,Limbach Holdings Inc,12.66,12.37,12.47,"2,200",-0.16,,1.27,
LMBS,Low Duration Opportunities ETF FT,51.41,51.39,51.40,"8,344",0.01,,0.02,
LMFA,Lm Funding,0.6300,0.6000,0.6000,"22,048",0.0100,,1.69,
LMFAW,Lm Funding WT,0.1100,0.1100,0.1100,100,0.0000,,0.00,
LMNR,Limoneira Co,23.47,22.78,23.37,"9,400",0.44,,1.92,
LMNX,Luminex Corp,21.09,20.94,20.94,"1,064",-0.04,,0.19,
LMRK,Landmark Cmn Units,16.54,16.50,16.54,808,0.09,,0.55,
LMRKO,Landmark Infrastructure Partners LP,24.17,24.17,24.17,150,-0.05,,0.21,
LMRKP,Landmark Inf Prf,24.97,24.90,24.97,700,0.08,,0.32,
LNCE,Snyders-Lance Inc,50.00,49.97,49.98,"5,501,500",0.01,,0.02,
LNDC,Landec Cp,13.90,13.45,13.50,"4,775",-0.40,,2.88,
LNGR,G-X Longevity Thematic Et,20.01,20.01,20.01,253,0.30,,1.52,
LNTH,Lantheus Holdings,16.15,15.93,15.95,"5,738",0.05,,0.31,
LOAN,Manhattan Bridge,7.100,7.100,7.100,"2,114",0.000,,0.00,
LOB,Live Oak Bancsh,28.60,28.35,28.35,"3,673",-0.15,,0.53,
LOCO,El Pollo Loco,9.850,9.730,9.800,"8,535",0.000,,0.00,
LOGI,Logitech Int S.A.,36.40,36.26,36.40,"15,854",0.30,,0.83,
LOGM,Logmein Inc,114.2,113.0,114.1,"14,242",1.7,,1.51,
LONE,Lonestar Resources US Inc,4.600,4.380,4.490,"27,300",-0.010,,0.22,
LOOP,Loop Industries Inc,15.22,14.16,14.33,"8,500",-0.26,,1.78,
LOPE,Grand Canyon Educati,105.4,104.3,105.0,"1,992",0.1,,0.06,
LORL,Loral Space Comm,40.75,40.75,40.75,592,0.05,,0.12,
LOXO,Loxo Oncology CS,123.5,119.3,120.0,"36,190",-2.5,,2.04,
LPCN,Lipocine Inc,1.620,1.590,1.610,"13,187",0.010,,0.63,
LPLA,Lpl Financial Hld,61.73,60.78,60.85,"17,343",0.07,,0.12,
LPNT,Lifepoint Health,47.80,47.35,47.45,"12,736",0.05,,0.11,
LPSN,Liveperson Inc,15.65,15.48,15.55,"18,307",0.05,,0.32,
LPTH,Lightpath Tech Inc,2.230,2.210,2.210,"3,000",0.000,,0.00,
LPTX,Leap Therapeutics Inc,9.750,9.170,9.500,"55,934",0.260,,2.81,
LQDT,Liquidity Services,6.650,6.550,6.550,"5,123",-0.050,,0.76,
LRAD,Lrad Corp,2.240,2.230,2.240,655,0.000,,0.00,
LRCX,Lam Research Corp,203.4,199.0,200.6,"369,623",-1.1,,0.53,
LRGE,Legg Clearbridge Large Cap Groowth ETF,29.19,29.19,29.19,600,-0.10,,0.34,
LSBK,Lake Shore Bancorp,16.75,16.75,16.75,280,0.00,,0.00,
LSCC,Lattice Semicond,5.490,5.430,5.440,"26,796",-0.010,,0.18,
LSTR,Landstar System,110.7,109.1,109.3,"129,815",0.2,,0.14,
LSXMA,Liberty Srs XM CS A,41.42,41.29,41.34,"3,584",0.19,,0.46,
LSXMB,Liberty Srs XM CS B,44.75,44.75,44.75,100,-0.78,,1.71,
LSXMK,Liberty Srs XM CS C,41.29,40.98,41.13,"11,184",0.23,,0.56,
LTBR,Lightbridge Corp,1.190,1.160,1.170,"29,762",0.000,,0.00,
LTRPA,Liberty Tripadv A,10.90,10.77,10.80,"19,021",0.05,,0.47,
LTRX,Lantronix Inc,2.090,1.980,2.080,"33,000",0.030,,1.46,
LTXB,Legacytexas Fnl,43.62,42.97,43.00,"3,979",0.18,,0.42,
LULU,Lululemon Athletica,89.69,88.36,88.47,"435,688",0.23,,0.26,
LUNA,Luna Innovations Inc,3.650,3.500,3.600,"53,386",0.100,,2.86,
LVHD,Legg Low Vol Hi Div ETF,29.61,29.48,29.50,"15,604",-0.08,,0.27,
LVNTA,Liberty Vntrs Srs A,53.78,52.06,53.42,"3,387,900",1.34,,2.57,
LWAY,Lifeway Foods Inc,6.120,6.040,6.050,"1,281",0.060,,1.00,
LX,Lexinfintech Holdings Ltd,13.29,12.97,13.20,"15,470",0.26,,2.01,
LXRX,Lexicon Pharmaceutcl,8.900,8.750,8.840,"8,007",0.000,,0.00,
LYL,Dragon Victory Intl Ltd,3.820,3.640,3.640,"1,800",-0.170,,4.46,
LYTS,L S I Industries I,7.870,7.770,7.800,"1,872",-0.050,,0.64,
MACK,Merrimack Pharmaceuticals Inc,8.500,8.310,8.330,"5,516",-0.150,,1.77,
MACQ,M I Acquisitions Inc,10.40,10.40,10.40,500,-0.04,,0.38,
MACQU,M I Acquisitions Inc Un,11.50,11.50,11.50,500,-1.45,,11.20,
MACQW,M I Acquisitions Inc Warrant,0.8200,0.8000,0.8000,"23,200",0.0250,,3.23,
MAGS,Magal Security Syst,5.850,5.830,5.850,"1,227",0.030,,0.52,
MAMS,Mam Software Gp,8.430,7.880,8.110,"10,200",0.270,,3.44,
MANH,Manhattan Assoc,42.27,41.60,41.96,"11,079",0.08,,0.19,
MANT,Mantech Intl Cp A,56.81,55.95,56.59,"2,201",0.03,,0.05,
MAR,Marriot Int Class A,138.4,133.2,133.5,"288,618",-2.3,,1.70,
MARA,Marathon Patent Grou,1.210,1.100,1.150,"207,469",-0.080,,6.50,
MARK,Remark Holdings Inc,6.140,5.930,5.980,"30,059",-0.110,,1.81,
MARPS,Marine Petroleum U,3.750,3.520,3.520,"1,300",-0.240,,6.38,
MASI,Masimo Corp,86.84,86.43,86.66,"5,656",0.37,,0.43,
MAT,Mattel Inc,13.41,13.21,13.35,"132,404",0.14,,1.06,
MATR,Mattersight Corp,2.100,2.100,2.100,"4,460",-0.050,,2.33,
MATW,Matthews Intl Corp,50.65,50.25,50.40,"5,688",0.05,,0.10,
MAYS,J W Mays Inc,37.25,37.25,37.25,100,0.00,,0.00,
MB,Mindbody Cls A,40.10,39.25,39.75,"18,496",0.70,,1.79,
MBB,MBS Bond Ishares,104.3,104.2,104.3,"21,636",0.0,,0.03,
MBCN,Middlefield Banc,49.40,48.80,49.40,"2,857",0.40,,0.82,
MBFI,MB Financial Inc,41.88,41.51,41.51,"6,661",-0.17,,0.41,
MBFIO,MB Financial Inc Dep Shs Repstg 1/40Th,24.96,24.75,24.92,"1,143,900",-0.01,,0.04,
MBII,Marrone Bio Innov,2.580,2.540,2.540,"64,502",0.000,,0.00,
MBIN,Merchants Bancorp,21.18,21.18,21.18,350,0.07,,0.33,
MBIO,Mustang Bio Inc,10.83,10.66,10.71,"2,527",-0.03,,0.28,
MBOT,Microbot Medical Inc,0.6300,0.6000,0.6200,"51,306",0.0000,,0.00,
MBRX,Moleculin Biotech CS,1.860,1.800,1.860,"36,004",0.060,,3.33,
MBSD,Flexshares Disciplined Duration MBS,23.40,23.33,23.39,"11,300",0.05,,0.21,
MBTF,Mbt Financial Corp,10.70,10.25,10.65,"3,703",0.15,,1.43,
MBUU,Malibu Boats Cmn A,33.11,32.51,33.11,"4,603",0.10,,0.30,
MBVX,Mabvax Therapeutics Holdings Inc,1.480,1.410,1.410,"2,683",-0.080,,5.37,
MBWM,Mercantile Bank Corp,34.65,34.08,34.08,458,-0.23,,0.67,
MCBC,Macatawa Bank Corp,10.65,10.65,10.65,227,0.10,,0.95,
MCEF,Municipal CEF Income Opportunity ETF FT,17.80,17.74,17.79,"3,100",-0.03,,0.16,
MCEP,Mid-Con Energy Partn,1.360,1.360,1.360,760,-0.010,,0.73,
MCFT,Mcbc Holdings,25.06,24.90,24.90,"4,318",-0.01,,0.04,
MCHI,China Index MSCI Ishares,68.29,67.89,67.91,"188,262",0.26,,0.38,
MCHP,Microchip Technology,90.92,89.98,90.00,"67,808",-0.18,,0.20,
MCHX,Marchex Inc,2.640,2.610,2.640,"16,758",0.000,,0.00,
MCRB,Seres Theraptc,7.930,7.630,7.750,"8,820",0.020,,0.26,
MCRI,Monarch Casino,41.99,41.69,41.69,462,-0.07,,0.17,
MDB,Mongodb Inc Class A,43.86,42.27,42.36,"23,365",-0.08,,0.19,
MDCA,Mdc Partners Cl A,7.540,7.050,7.150,"18,396",0.100,,1.42,
MDCO,Medicines Co,32.51,32.02,32.13,"25,096",-0.23,,0.71,
MDGL,Madrigal Pharmaceuticals Inc,113.4,109.8,110.5,"4,977",-1.8,,1.56,
MDGS,Medigus Ltd Ads,1.170,1.080,1.140,"2,600",-0.030,,2.56,
MDIV,Multi-Asset Diversified Income Index,17.95,17.92,17.92,"8,355",0.01,,0.06,
MDLZ,Mondelez Intl Cmn A,42.46,42.07,42.12,"1,082,911",0.05,,0.12,
MDRX,Allscripts Hlthcare,12.31,12.07,12.09,"53,495",0.05,,0.42,
MDSO,Medidata Solutions,65.09,63.38,64.73,"23,045",0.95,,1.49,
MDWD,Mediwound Ltd Ord Sh,5.400,5.300,5.300,"1,603",-0.150,,2.75,
MDXG,Mimedx Group Inc,7.000,6.740,6.760,"312,238",-0.170,,2.45,
MEDP,Medpace Holdings Inc,36.06,35.78,35.78,551,-0.09,,0.25,
MEET,The Meet Group,1.920,1.880,1.890,"31,606",0.010,,0.53,
MEIP,Mei Pharma Inc,2.070,2.030,2.030,"1,193",-0.040,,1.93,
MELI,Mercadolibre Inc,362.7,357.7,359.2,"45,474",3.7,,1.05,
MELR,Melrose Bancorp,19.90,19.90,19.90,100,-0.60,,2.93,
MEOH,Methanex Cp,62.60,61.45,62.10,"39,569",0.65,,1.06,
MERC,Mercer Intl Inc,12.90,12.75,12.85,"7,131",0.10,,0.78,
MESO,Mesoblast Ltd Ads,5.660,5.600,5.600,"2,682",0.120,,2.19,
METC,Ramaco Resources Inc,7.300,7.300,7.300,"1,486",-0.070,,0.95,
MFIN,Medallion Fin Cp,4.630,4.630,4.630,152,0.010,,0.22,
MFINL,Medallion Fin Notes,25.08,24.98,25.08,"1,100",-0.01,,0.02,
MFNC,Mackinac Financial,16.14,15.75,16.14,"2,700",0.11,,0.69,
MFSF,Mutualfirst Finl Inc,36.90,36.90,36.90,228,0.25,,0.68,
MGEE,Mge Energy Inc,56.40,55.65,55.65,"2,472",-0.75,,1.33,
MGEN,Miragen Therapeutics Inc,6.900,6.690,6.860,"8,294",0.060,,0.88,
MGI,Moneygram Intl,8.570,8.480,8.560,"21,989",0.140,,1.66,
MGIC,Magic Software Entpr,8.260,8.260,8.260,"1,020",0.160,,1.98,
MGLN,Magellan Health,108.9,108.6,108.7,"3,706",0.8,,0.74,
MGNX,Macrogenics,24.55,23.33,23.37,"24,994",-0.70,,2.91,
MGPI,MGP Ingredients Inc,87.19,85.42,85.42,"37,489",-1.06,,1.23,
MGRC,Mcgrath Rentcorp,53.90,53.81,53.81,"1,291",0.16,,0.30,
MGYR,Magyar Bancorp Inc,12.36,12.36,12.36,100,-0.39,,3.06,
MHLD,Maiden Holdings Ltd,6.750,6.600,6.600,"27,289",-0.050,,0.75,
MICT,Micronet Enertec Tec,1.350,1.340,1.340,932,0.090,,7.20,
MICTW,Micronet Enertec Wrt,0.0800,0.0800,0.0800,101,0.0100,,14.29,
MIDD,Middleby Corp,125.3,124.5,125.1,"24,820",1.5,,1.25,
MIII,M III Acquisition Corp,8.960,8.250,8.250,"7,700",-0.460,,5.28,
MIIIU,M III Acquisition,10.25,10.18,10.18,600,-0.40,,3.74,
MIIIW,M III Acquisition Corp WT,0.8800,0.8800,0.8800,"7,400",0.0000,,0.00,
MIK,The Michaels Comp,19.97,19.49,19.52,"70,147",-0.26,,1.31,
MILN,G-X Millennials Thematic ETF,19.95,19.95,19.95,354,0.05,,0.25,
MIME,Mimecast Limited Ord,36.01,35.75,35.75,"3,178",0.16,,0.45,
MIND,Mitcham Industries Inc,3.380,3.095,3.140,"25,000",-0.410,,11.55,
MINDP,Mitcham Industries Inc,23.38,23.37,23.38,900,0.01,,0.04,
MINI,Mobile Mini Inc,43.40,43.15,43.15,"2,394",0.00,,0.00,
MITK,Mitek Systems Inc,7.450,7.360,7.400,"8,617",0.050,,0.68,
MITL,Mitel Networks Corp,9.660,9.500,9.550,"115,743",0.070,,0.74,
MKGI,Monaker Group Inc,3.900,3.900,3.900,418,0.150,,4.00,
MKSI,Mks Instruments Inc,114.1,112.7,113.2,"33,707",0.9,,0.80,
MKTX,Marketaxess Holdings,213.6,211.4,211.4,"3,886",-0.9,,0.41,
MLAB,Mesa Labs Inc,150.0,148.1,150.0,"4,125",1.6,,1.04,
MLCO,Melco Resorts & Entertainment,28.73,28.17,28.46,"120,443",0.29,,1.03,
MLHR,Miller Herman Inc,32.70,32.46,32.46,"26,713",-0.09,,0.28,
MLNT,Melinta Therapeutics Inc,8.490,7.720,7.750,"33,977",0.050,,0.65,
MLNX,Mellanox Technologies,75.00,73.90,73.90,"29,144",0.20,,0.27,
MLVF,Malvern Bncp,26.15,25.70,25.80,"5,400",0.05,,0.19,
MMAC,Mma Capital Mngt,27.05,25.45,27.05,"3,100",-0.15,,0.55,
MMDM,Modern Media Acquisition Corp,9.970,9.910,9.950,"26,800",0.000,,0.00,
MMDMR,Modern Media Acquisition Corp Right,0.3800,0.3800,0.3800,"1,500",-0.0200,,5.00,
MMDMU,Modern Media Acquisition Corp Unit,10.63,10.63,10.63,500,0.03,,0.28,
MMDMW,Modern Media Acquisition Corp Warrant,0.5700,0.4600,0.5000,"42,500",-0.0200,,3.85,
MMLP,Martin Midstrm LP,13.70,13.50,13.60,"6,127",0.10,,0.74,
MMSI,Merit Medical Sys,45.70,45.40,45.65,"8,958",0.50,,1.11,
MMYT,Makemytrip Ltd,33.75,33.40,33.62,"16,775",0.57,,1.72,
MNDO,Mind C.T.I. Ltd,2.290,2.210,2.210,"9,751",-0.070,,3.07,
MNGA,Magnegas Corp,0.8800,0.8500,0.8700,"29,595",0.0100,,1.16,
MNKD,Mannkind Corp,2.210,2.190,2.200,"39,204",0.010,,0.46,
MNLO,Menlo Therapeutics Inc.,36.81,35.94,35.94,"2,009",-0.56,,1.52,
MNOV,Medicinova Inc,12.98,12.80,12.80,"25,347",0.07,,0.55,
MNRO,Monro Muffler Brak,56.35,55.35,55.40,"4,537",-0.45,,0.81,
MNST,Monster Beverage Cp,57.29,56.83,57.05,"81,781",0.28,,0.49,
MNTA,Momenta Pharma,18.75,18.45,18.45,"52,015",-0.15,,0.81,
MNTX,Manitex Intl Inc,11.66,11.64,11.66,823,0.08,,0.69,
MOBL,Mobileiron Inc,5.050,4.950,5.000,"7,822",0.000,,0.00,
MOFG,Midwestone Fnl Gp,32.50,32.50,32.50,529,-0.38,,1.16,
MOGLC,Gabelli Nextshares Trust Gabelli Media,100.0,100.0,100.0,200,0.0,,0.00,
MOMO,Momo Inc Ads,37.99,37.10,37.14,"239,019",0.00,,0.00,
MORN,Morningstar Inc,95.88,93.40,95.57,"6,784",-0.16,,0.17,
MOSY,Mosys Inc,1.200,1.170,1.170,"10,697",-0.030,,2.50,
MOTS,Motus Gi Holdings Inc.,4.560,4.560,4.560,100,0.070,,1.56,
MOXC,Moxian Inc,2.950,2.950,2.950,416,-0.010,,0.34,
MPAA,Motorcar Parts Amer,22.38,21.87,21.94,"2,477",0.08,,0.37,
MPAC,Matlin & Partners Acquisition,9.850,9.830,9.850,"8,600",0.030,,0.31,
MPACU,Matlin & Partners Acquisition,10.26,10.26,10.26,100,-0.02,,0.19,
MPACW,Matlin & Partners Acquisition,0.4700,0.4700,0.4700,400,-0.0300,,6.00,
MPB,Mid Penn Bancorp Inc,32.00,32.00,32.00,250,-0.10,,0.31,
MPCT,Ishares Global Impact ETF,59.00,58.92,58.92,256,0.33,,0.56,
MPVD,Mountain Prv Dmds,2.600,2.550,2.550,617,0.000,,0.00,
MPWR,Monolithic Power Sys,115.5,114.4,114.6,"9,838",0.2,,0.19,
MRAM,Everspin Technologies Inc,7.790,7.660,7.660,"1,304",0.020,,0.26,
MRBK,Meridian Bank,17.76,17.15,17.20,"172,300",0.06,,0.35,
MRCC,Monroe Capital Corpo,12.59,12.50,12.50,"5,055",-0.04,,0.32,
MRCY,Mercury Sys Inc,49.00,48.38,48.38,"8,482",0.11,,0.23,
MRDN,Meridian Waste Solutions Inc,0.6000,0.5400,0.5800,"6,179",0.0300,,5.45,
MRDNW,Meridian Waste Solutions Inc Warrants,0.0750,0.0660,0.0750,600,0.0250,,50.00,
MRLN,Marlin Business Serv,28.80,28.70,28.70,472,-0.05,,0.17,
MRNS,Marinus Pharma CS,4.200,4.040,4.050,"25,172",-0.100,,2.41,
MRSN,Mersana Therapeutics Inc,16.21,15.60,15.94,"11,402",-0.24,,1.48,
MRTN,Marten Transport L,23.30,22.90,22.95,"4,921",-0.20,,0.86,
MRTX,Mirati Therapeutics,28.50,27.20,27.30,"25,182",-0.80,,2.85,
MRUS,Merus N.V. CS,18.79,18.27,18.43,"17,886",0.18,,0.99,
MRVL,Marvell Tech Group,21.59,21.07,21.18,"1,461,908",0.38,,1.83,
MSBF,MSB Financial,17.95,17.95,17.95,"2,226",-0.35,,1.91,
MSBI,Midland Sts BNC,32.47,32.14,32.26,"3,567",-0.15,,0.46,
MSCC,Microsemi Corp,64.98,64.65,64.79,"243,895",-0.46,,0.70,
MSEX,Middlesex Water Co,36.91,36.72,36.72,"1,001",-0.10,,0.27,
MSFG,Mainsource Finl Grp,40.70,39.48,40.65,"573,800",1.11,,2.81,
MSFT,Microsoft Corp,92.83,92.02,92.07,"2,914,446",-0.26,,0.28,
MSON,Misonix Inc,10.000,10.000,10.000,103,-0.250,,2.44,
MSTR,Microstrategy Cl A,127.7,127.6,127.6,"1,598",0.8,,0.63,
